Channel number	pin number	Group	Name	Radius	Theta	Phi	Color
1	1	1	Fp1	1	-90	-72	green
2	2	1	Fz	1	45	90	green
3	3	1	F3	1	-60	-51	green
4	4	1	F7	1	-90	-36	green
5	5	1	FT9	1	-113	-18	green
6	6	1	FC5	1	-69	-22	green
7	7	1	FC1	1	-31	-46	green
8	8	1	C3	1	-45	0	green
9	9	1	T7	1	-90	0	green
10	10	1	TP9	1	-113	18	green
11	11	1	CP5	1	-69	21	green
12	12	1	CP1	1	-31	46	green
13	13	1	Pz	1	45	-90	green
14	14	1	P3	1	-60	51	green
15	15	1	P7	1	-90	36	green
16	16	1	O1	1	-90	72	green
17	17	1	Oz	1	90	-90	green
18	18	1	O2	1	90	-72	green
19	19	1	P4	1	60	-51	green
20	20	1	P8	1	90	-36	green
21	21	1	TP10	1	113	-18	green
22	22	1	CP6	1	69	-21	green
23	23	1	CP2	1	31	-46	green
24	24	1	Cz	1	0	0	green
25	25	1	C4	1	45	0	green
26	26	1	T8	1	90	0	green
27	27	1	FT10	1	113	18	green
28	28	1	FC6	1	69	21	green
29	29	1	FC2	1	31	46	green
30	30	1	F4	1	60	51	green
31	31	1	F8	1	90	36	green
32	32	1	Fp2	1	90	72	green
Gnd	Gnd		Fpz	1	90	90	black
